
2024/02/23 (10:30:27) | ===> btop++ v.1.3.2
2024/02/23 (10:30:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/23 (10:30:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/26 (12:48:35) | ===> btop++ v.1.3.2
2024/02/26 (12:48:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/26 (12:48:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/12 (10:05:31) | ===> btop++ v.1.3.2
2024/03/12 (10:05:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/12 (10:05:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/26 (09:58:27) | ===> btop++ v.1.3.2
2024/03/26 (09:58:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/26 (09:58:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/11 (09:43:59) | ===> btop++ v.1.3.2
2024/06/11 (09:43:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/11 (09:43:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (10:03:03) | ===> btop++ v.1.3.2
2024/09/09 (10:03:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (10:03:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/09 (10:03:53) | ===> btop++ v.1.3.2
2024/09/09 (10:03:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/09/09 (10:03:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/11 (09:19:57) | ===> btop++ v.1.3.2
2024/11/11 (09:19:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/11 (09:19:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/14 (13:30:41) | ===> btop++ v.1.4.0
2024/11/14 (13:30:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (20:28:48) | ===> btop++ v.1.4.0
2024/11/18 (20:28:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (20:28:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/18 (20:28:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (20:59:35) | ===> btop++ v.1.4.0
2024/11/18 (20:59:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (20:59:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/18 (20:59:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (10:10:12) | ===> btop++ v.1.4.0
2024/11/19 (10:10:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (10:10:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/19 (10:10:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (10:18:09) | ===> btop++ v.1.4.0
2024/11/19 (10:18:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (10:18:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/19 (10:18:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (13:53:04) | ===> btop++ v.1.4.0
2024/11/19 (13:53:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (13:53:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/19 (13:53:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (17:58:19) | ===> btop++ v.1.4.0
2024/11/19 (17:58:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (17:58:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/19 (17:58:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (16:23:29) | ===> btop++ v.1.4.0
2024/11/20 (16:23:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/20 (16:23:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/20 (16:23:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (18:05:13) | ===> btop++ v.1.4.0
2024/11/20 (18:05:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/20 (18:05:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/20 (18:05:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (08:43:49) | ===> btop++ v.1.4.0
2025/01/13 (08:43:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (08:43:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/13 (08:43:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (23:13:59) | ===> btop++ v.1.4.0
2025/01/16 (23:13:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/16 (23:13:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/16 (23:13:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (17:54:23) | ===> btop++ v.1.4.0
2025/01/23 (17:54:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/23 (17:54:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/01/23 (17:54:23) | WARNING: Intel GPU: Failed to initialize PMU
